seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
32248.0,2025,4643.0,Josh Okogie,,SG,26.0,7.0,NBA,CHO,9,2.0,19.4,2.7,6.6,0.407,1.0,2.9,0.346,1.7,3.7,0.455,0.483,2.4,3.0,0.815,1.0,2.0,3.0,1.3,2.4,0.6,1.1,1.4,8.8
32249.0,2025,4336.0,Josh Richardson,,SG,31.0,10.0,NBA,MIA,8,0.0,18.8,1.4,4.8,0.289,0.8,2.8,0.273,0.6,2.0,0.313,0.368,0.5,0.5,1.0,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0
32250.0,2025,3891.0,Jrue Holiday,,PG,34.0,16.0,NBA,BOS,58,58.0,30.6,4.2,9.3,0.446,1.8,5.1,0.35,2.4,4.3,0.56,0.542,1.1,1.2,0.914,1.2,3.1,4.3,3.9,1.1,0.4,1.3,1.7,11.2
32251.0,2025,5070.0,Julian Champagnie,,SF,23.0,3.0,NBA,SAS,74,26.0,23.1,3.2,7.9,0.408,2.1,5.7,0.358,1.2,2.1,0.541,0.539,1.0,1.1,0.904,0.9,3.0,3.8,1.4,0.8,0.4,0.9,1.4,9.5
32252.0,2025,5166.0,Julian Phillips,,SF,21.0,2.0,NBA,CHI,73,3.0,14.1,1.5,3.5,0.436,0.6,1.9,0.326,0.9,1.6,0.563,0.523,0.7,1.0,0.771,0.8,1.2,2.1,0.5,0.5,0.2,0.4,1.4,4.4
32253.0,2025,5167.0,Julian Strawther,,SG,22.0,2.0,NBA,DEN,61,4.0,22.1,3.4,7.7,0.434,1.5,4.3,0.357,1.8,3.4,0.531,0.534,1.1,1.3,0.829,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.4,9.4
32254.0,2025,4266.0,Julius Randle,,PF,30.0,11.0,NBA,MIN,62,62.0,32.0,6.5,13.6,0.482,1.5,4.4,0.328,5.1,9.2,0.555,0.535,4.2,5.2,0.812,2.1,4.9,7.0,4.7,0.7,0.2,2.8,2.5,18.8
32255.0,2025,4973.0,Justin Champagnie,,SF,23.0,4.0,NBA,WAS,55,24.0,20.0,3.0,6.0,0.494,1.1,2.9,0.376,1.9,3.1,0.601,0.583,0.8,1.1,0.714,1.6,3.5,5.1,0.9,1.0,0.6,0.8,1.7,7.8
32256.0,2025,5261.0,Justin Edwards,,SF,21.0,1.0,NBA,PHI,41,23.0,26.3,4.0,8.7,0.459,1.6,4.4,0.37,2.4,4.3,0.551,0.553,0.8,1.1,0.705,1.1,2.3,3.3,1.6,1.0,0.4,1.0,2.3,10.4
32258.0,2025,4267.0,Jusuf Nurkić,,C,30.0,11.0,NBA,TOT,45,29.0,20.6,2.9,6.3,0.457,0.6,2.0,0.308,2.2,4.2,0.529,0.507,1.6,2.4,0.673,1.7,6.3,8.0,2.2,0.8,0.7,1.8,2.5,8.0
